China, 1427647786
Austria, 8902600
Germany, 83149300
Italy, 60317546
US, 328239523
United Kingdom, 67545757
Spain, 46733038 
Norway, 5367580
Sweden, 10333456
Finland, 5521158
index, 2020-01-22
